Autor,Research ID,Orcid ID
"Kumar, S",NA,NA
"Rosa, RM",NA,NA
"Papadopoulou, O",NA,NA
"Zampoglou, M",NA,NA
"Papadopoulos, S",NA,0000-0002-5441-7341
"Kompatsiaris, I",NA,NA
"Ab Kadir, K",NA,NA
"Ashaari, NS",NA,NA
"Judi, HM",NA,NA
"de Valk, M",NA,NA
"Badawy, A",NA,NA
"Lerman, K",NA,NA
"Ferrara, E",NA,NA
"Zannettou, S",NA,NA
"Caulfield, T",NA,NA
"De Cristofaro, E",NA,NA
"Sirivianos, M",NA,NA
"Stringhini, G",NA,NA
"Blackburn, J",NA,NA
"Achkasova, VA",NA,NA
"Zhuravleva, NN",NA,NA
"Trefilova, EA",NA,NA
"Azarova, LV",NA,NA
"Poole, E",NA,NA
"Giraud, E",NA,NA
"de Quincey, E",NA,NA
"Glensli, M",NA,NA
"Wertingea, T",NA,NA
"Volkova, S",NA,NA
"Chadwick, A",NA,NA
"Vaccari, C",NA,NA
"O'Loughlin, B",NA,NA
"Bastos, M",D-4616-2013,0000-0003-0480-1078
"Mercea, D",NA,NA
"Ross, AS",V-4263-2019,0000-0001-7005-9962
"Rivers, DJ",NA,NA
"Bevensee, E",NA,NA
"Ross, AR",NA,NA
"Khaund, T",NA,NA
"Bandeli, KK",NA,NA
"Hussain, MN",NA,NA
"Obadimu, A",NA,NA
"Al-Khateeb, S",NA,NA
"Agarwal, N",NA,NA
"Kaleda, K",NA,NA
"Fenstermacher, L",NA,NA
"Chew, PA",NA,NA
"Turnley, JG",NA,NA
"D'Andrea, E",P-2628-2016,0000-0002-6959-886X
"Ducange, P",S-3955-2019,NA
"Marcelloni, F",NA,NA
"Kumar, KPK",NA,NA
"Srivastava, A",NA,NA
"Geethakumari, G",NA,NA
"Yang, YK",NA,NA
"Niu, K",NA,NA
"He, ZQ",NA,NA
"Luo, C",NA,NA
"Cui, KN",NA,NA
"Zheng, XL",NA,NA
"Zeng, D",NA,NA
"Tsarwe, S",NA,NA
"Herrero-Diz, P",NA,NA
"Conde-Jimenez, J",NA,NA
"Tapia-Frade, A",NA,NA
"Varona-Aramburu, D",NA,NA
"Zubiaga, A",H-3808-2019,0000-0003-4583-3623
"Aker, A",NA,NA
"Bontcheva, K",NA,NA
"Liakata, M",NA,NA
"Procter, R",NA,NA
"Chen, HH",T-8965-2018,0000-0001-8976-3634
"Rahwan, I",NA,NA
"Cebrian, M",NA,NA
"Clayton, K",NA,NA
"Davis, J",NA,NA
"Hinckley, K",NA,NA
"Horiuchi, Y",NA,NA
"Tsarwe, S",NA,NA
"Samuel-Azran, T",NA,NA
"Hayat, T",NA,NA
"Kelly, D",NA,NA
"Vazquez-Herrero, J",NA,NA
"Vizoso, A",NA,NA
"Lopez-Garcia, X",NA,NA
"Visentin, M",NA,NA
"Pizzi, G",NA,NA
"Pichierri, M",NA,NA
"Umarova, K",NA,NA
"Mustafaraj, E",NA,NA
"Jardaneh, G",NA,NA
"Abdelhaq, H",NA,NA
"Buzz, M",NA,NA
"Johnson, D",NA,NA
"Inuwa-Dutse, I",NA,NA
"Liptrott, M",NA,NA
"Korkontzelos, I",NA,0000-0001-8052-2471
"da Silva, JAT",NA,NA
"Alrubaian, M",NA,NA
"Al-Qurishi, M",NA,NA
"Hassan, MM",D-4946-2016,0000-0002-3479-3606
"Alamri, A",NA,NA
"Ufarte-Ruiz, MJ",NA,NA
"Peralta-Garcia, L",NA,NA
"Murcia-Verdu, FJ",NA,NA
"Boididou, C",NA,NA
"Middleton, SE",NA,0000-0001-8305-8176
"Jin, ZW",NA,NA
"Papadopoulos, S",NA,NA
"Dang-Nguyen, DT",NA,NA
"Boato, G",NA,NA
"Kompatsiaris, Y",NA,NA
"Shao, CC",NA,0000-0002-5479-2256
"Hui, PM",NA,NA
"Wang, L",NA,NA
"Jiang, XW",NA,NA
"Flammini, A",NA,NA
"Menczer, F",NA,NA
"Ciampaglia, GL",NA,NA
"Boididou, C",NA,NA
"Papadopoulos, S",NA,0000-0002-5441-7341
"Zampoglou, M",NA,NA
"Apostolidis, L",NA,NA
"Papadopoulou, O",NA,NA
"Kompatsiaris, Y",NA,NA
"Pasi, G",NA,NA
"Viviani, M",NA,NA
"Ootani, K",NA,NA
"Yamana, H",NA,NA
"Khodabakhsh, A",W-2446-2019,0000-0002-2873-4140
"Ramachandra, R",NA,NA
"Busch, C",NA,NA
"Al Qundus, J",NA,0000-0002-8848-1632
"Paschke, A",NA,NA
"Benamara, F",NA,NA
"Bosco, C",NA,NA
"Patti, V",NA,NA
"Fersini, E",NA,NA
"Pasi, G",NA,NA
"Viviani, M",NA,NA
"Mouty, R",W-4721-2019,NA
"Gazdar, A",NA,NA
"Gupta, P",NA,NA
"Pathak, V",NA,NA
"Goyal, N",NA,NA
"Singh, J",NA,NA
"Varshney, V",NA,NA
"Kumar, S",NA,NA
"Arora, A",NA,NA
"Malhotra, R",NA,NA
"Saxena, N",NA,NA
"Sharma, S",NA,NA
"Kumar, D",NA,NA
"Shaalan, Y",NA,NA
"Zhang, XZ",NA,0000-0001-5558-3790
"Chan, J",NA,NA
"Viviani, M",NA,0000-0002-2274-9050
"Pasi, G",NA,NA
"Viviani, M",NA,0000-0002-2274-9050
"Pasi, G",NA,NA
"Jin, ZW",NA,NA
"Cao, J",NA,NA
"Zhang, YD",NA,NA
"Zhou, JS",NA,NA
"Tian, Q",NA,NA
"Fontanarava, J",NA,NA
"Pasi, G",NA,NA
"Viviani, M",NA,NA
"Buntain, C",NA,NA
"Golbeck, J",NA,NA
"Sandy, C",NA,NA
"Rusconi, P",NA,NA
"Li, SJ",A-9032-2008,0000-0001-5628-7328
"Deng, HX",NA,NA
"Zhao, LF",NA,NA
"Luo, N",NA,NA
"Liu, Y",NA,NA
"Guo, GB",NA,NA
"Wang, XW",NA,NA
"Tan, ZH",NA,NA
"Wang, S",NA,NA
"Zhou, FC",NA,NA
"Fontanarava, J",NA,NA
"Pasi, G",NA,0000-0002-6080-8170
"Viviani, M",NA,NA
"Xue, H",NA,NA
"Li, FJ",NA,NA
"Elkasrawi, S",NA,NA
"Bukhari, SS",NA,NA
"Abdelsamad, A",NA,NA
"Dengel, A",NA,NA
"Zhang, DS",NA,NA
"Zhou, LN",NA,NA
"Kehoe, JL",NA,NA
"Kilic, IY",NA,NA
"Filieri, R",NA,NA
"Alguezaui, S",NA,NA
"McLeay, F",I-8232-2018,0000-0002-5535-1591
"Liu, X",NA,NA
"Nielek, R",L-1183-2015,0000-0002-5794-7532
"Adamska, P",S-4209-2017,NA
"Wierzbicki, A",C-7869-2013,NA
"Aberer, K",NA,NA
"AlRubaian, M",NA,NA
"Al-Qurishi, M",NA,NA
"Al-Rakhami, M",NA,NA
"Rahman, SMM",NA,NA
"Alamri, A",NA,NA
"Dong, QX",NA,NA
"Guan, Z",NA,NA
"Chen, Z",NA,NA
"Kariyawasam, S",NA,NA
"Weerasinghe, R",NA,NA
"Gupta, A",NA,NA
"Kumaraguru, P",NA,NA
"Castillo, C",E-4752-2016,0000-0002-1218-0454
"Meier, P",NA,NA
"Cheng, OKM",NA,NA
"Lau, RYK",NA,NA
"Boididou, C",NA,NA
"Papadopoulos, S",NA,0000-0002-5441-7341
"Kompatsiaris, Y",NA,NA
"Schifferes, S",NA,NA
"Newman, N",NA,NA
"Jaho, E",NA,NA
"Tzoannos, E",NA,NA
"Papadopoulos, A",NA,NA
"Sarris, N",NA,NA
"Barron-Cedeno, A",NA,NA
"Jaradat, I",NA,NA
"Da San Martino, G",NA,NA
"Nakov, P",NA,NA
"Gravanis, G",NA,NA
"Vakali, A",NA,NA
"Diamantaras, K",NA,NA
"Karadais, P",NA,NA
"Citlak, O",NA,NA
"Dorterler, M",NA,NA
"Dogru, IA",NA,NA
"Katsaounidou, A",NA,NA
"Vrysis, L",NA,0000-0003-2900-4657
"Kotsakis, R",NA,NA
"Dimoulas, C",NA,NA
"Veglis, A",NA,NA
"Sahoo, SR",NA,NA
"Gupta, BB",NA,NA
"Ko, H",J-4612-2013,0000-0002-4604-1735
"Hong, JY",NA,NA
"Kim, S",NA,NA
"Mesicek, L",NA,NA
"Na, IS",NA,NA
"Sharma, K",NA,NA
"Qian, F",NA,NA
"Jiang, H",NA,NA
"Ruchansky, N",NA,NA
"Zhang, M",NA,NA
"Liu, Y",NA,NA
"Asr, FT",NA,NA
"Taboada, M",C-1994-2012,0000-0002-6750-8891
"Cresci, S",NA,NA
"Lillo, F",NA,NA
"Regoli, D",NA,NA
"Tardelli, S",NA,NA
"Tesconi, M",NA,NA
"Ou, TH",NA,0000-0002-0892-908X
"Wang, YF",NA,NA
"Fang, D",NA,NA
"Narayanan, SR",NA,NA
"Wu, W",NA,NA
"Papadopoulou, O",NA,NA
"Zampoglou, M",NA,NA
"Papadopoulos, S",NA,0000-0002-5441-7341
"Kompatsiaris, I",NA,NA
"Dai, SF",NA,NA
"Wang, N",NA,NA
"Zhang, LF",NA,NA
"Huang, CP",NA,NA
"Wang, JY",NA,NA
"Wen, R",NA,NA
"Wu, CM",NA,NA
"Huang, Y",NA,NA
"Xiong, J",NA,NA
